year,for_ha,mature_ha,mmature_ha,hmature_ha,for_rfri,mature_rfri,mmature_rfri,hmature_rfri,for_loss,mature_loss,mmature_loss,hmature_loss,for_bloss,mature_bloss,mmature_bloss,hmature_bloss
2011,1407597.12,96809.67,41175.27,55634.4,345054.06,7215.12,4812.57,2402.55,NA,NA,NA,NA,NA,NA,NA,NA
2012,1366302.51,95325.12,44438.4,50886.72,330747.93,6994.8,4817.97,2176.83,41294.6100000001,1484.550000000003,-3263.1300000000047,4747.68,2114.82,37.53,37.17,0
2013,1287769.05,86277.33,50164.47,36112.86,327307.86,9420.66,8250.3,1170.36,78533.45999999996,9047.789999999994,-5726.07,14773.86,54809.27999999999,6923.43,-146.8800000000001,7070.31
2014,1263448.62,84010.32,52652.79,31357.53,317800.62,8754.39,7740.81,1013.58,24320.429999999935,2267.0099999999948,-2488.3199999999997,4755.330000000002,4491.18,88.65,-18.08999999999999,106.74
2015,1214648.46,74755.53,54184.86,20570.67,315077.76,7899.39,7121.79,777.6,48800.16000000015,9254.790000000008,-1532.0699999999997,10786.86,16241.490000000002,1220.85,1054.3500000000001,166.5
2016,1155075.93,63657.9,50130.9,13527,295731.99,7155.9,6542.64,613.26,59572.53000000003,11097.629999999997,4053.959999999999,7043.669999999998,5997.870000000001,154.17000000000002,73.80000000000001,80.36999999999999
2017,1114856.19,57891.51,46478.07,11413.44,291450.42,6874.2,6409.98,464.22,40219.73999999999,5766.389999999999,3652.8300000000017,2113.5599999999995,13947.75,1386.9,1195.56,191.34
2018,1082543.31,53751.42,43992.63,9758.79,293787,7018.2,6581.97,436.23,32312.87999999989,4140.090000000004,2485.4400000000023,1654.6499999999996,19195.65,1955.9699999999998,1605.42,350.55
2019,1064748.06,51732.18,42834.6,8897.58,288807.48,6714.09,6306.3,407.79,17795.25,2019.239999999998,1158.0299999999988,861.210000000001,438.92999999999995,2.5199999999999996,2.4299999999999997,0
2020,988601.04,48384.81,39957.39,8427.42,328254.39,9828.45,9182.88,645.57,76147.02000000002,3347.3700000000026,2877.209999999999,470.15999999999985,72723.24,3022.92,2718,304.91999999999996
