year,for_ha,mature_ha,mmature_ha,hmature_ha,for_loss,mature_loss,mmature_loss,hmature_loss,for_mloss,mature_mloss,mmature_mloss,hmature_mloss
2011,1407597.12,96809.67,41175.27,55634.4,NA,NA,NA,NA,NA,NA,NA,NA
2012,1366302.51,95325.12,44438.4,50886.72,41294.6100000001,1484.550000000003,-3263.1300000000047,4747.68,399.05999999999995,53.28,-5.940000000000001,59.220000000000006
2013,1287769.05,86277.33,50164.47,36112.86,78533.45999999996,9047.789999999994,-5726.07,14773.86,3458.7899999999995,411.84000000000003,111.41999999999999,300.41999999999996
2014,1263448.62,84010.32,52652.79,31357.53,24320.429999999935,2267.0099999999948,-2488.3199999999997,4755.330000000002,418.5,78.93,64.17,14.760000000000002
2015,1214648.46,74755.53,54184.86,20570.67,48800.16000000015,9254.790000000008,-1532.0699999999997,10786.86,1009.8900000000001,95.49000000000001,47.79,47.699999999999996
2016,1155075.93,63657.9,50130.9,13527,59572.53000000003,11097.629999999997,4053.959999999999,7043.669999999998,4529.43,507.23999999999995,388.16999999999996,119.07
2017,1114856.19,57891.51,46478.07,11413.44,40219.73999999999,5766.389999999999,3652.8300000000017,2113.5599999999995,3527.73,397.8,362.52,35.28
2018,1082543.31,53751.42,43992.63,9758.79,32312.87999999989,4140.090000000004,2485.4400000000023,1654.6499999999996,1734.0300000000002,143.82,98.19,45.63
2019,1064748.06,51732.18,42834.6,8897.58,17795.25,2019.239999999998,1158.0299999999988,861.210000000001,848.1600000000001,161.37,85.05000000000001,76.32000000000001
