extent,class,year,ha
full,forest,2011,1407597.12
full,forest,2020,988601.04
full,mature,2011,96809.67
full,mature,2020,48384.81
full,mmature,2011,41175.27
full,mmature,2020,39957.39
full,hmature,2011,55634.4
full,hmature,2020,8427.42
full,mm_lm,2020,11839.23
full,hm_mm,2020,22030.83
full,hm_lm,2020,9911.16
full,hm_for,2020,31941.99
full,mm_loss,2020,11409.48
full,hm_loss,2020,15264.99
fs,forest,2011,953630.01
fs,forest,2020,643509.09
fs,mature,2011,55557.54
fs,mature,2020,25492.05
fs,mmature,2011,23716.98
fs,mmature,2020,21196.08
fs,hmature,2011,31840.56
fs,hmature,2020,4295.97
fs,mm_lm,2020,6525.179999999999
fs,hm_mm,2020,11928.6
fs,hm_lm,2020,6205.86
fs,hm_for,2020,18134.46
fs,mm_loss,2020,7924.32
fs,hm_loss,2020,9410.13
pac,forest,2011,76819.14
pac,forest,2020,49936.05
pac,mature,2011,15071.85
pac,mature,2020,7568.009999999999
pac,mmature,2011,5233.41
pac,mmature,2020,5888.5199999999995
pac,hmature,2011,9838.44
pac,hmature,2020,1679.49
pac,mm_lm,2020,1552.95
pac,hm_mm,2020,3898.35
pac,hm_lm,2020,1757.52
pac,hm_for,2020,5655.87
pac,mm_loss,2020,1690.29
pac,hm_loss,2020,2503.08
full,lmature,2011,1076.04
pac,lmature,2011,48.15
fs,lmature,2011,240.39
